raw_id,pred_id,pred,sentence,rating_type,verb symmetry score,trans,trans_mod,v_tense,v_act,modal,neg,is_root,direction,sing_sub,sing_obj,conj_sub,conj_obj,rcp_phrase,sub_more_freq,ani_match,num_np,ani_sub,num_clauses
1,1,marry,"He married Kristie and has three children, Afiya, Eden and Titus. ",continuous,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,1,1
2,1,marry,Hannah Tamaki and Bishop Brian have been married for over 26 years.,continuous,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
3,1,marry,Don Hornig married chemist Lilli Hornig.,continuous,4,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2,1,1
4,1,marry,Angelina and Brad were married several years ago and had some issues.,continuous,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3,1,1
5,1,marry,"Mrs. H., our teacher, who is beautiful and blond, is married to a black man from Africa (she shows us pictures of her wedding the first day).",continuous,4,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,5,1,3
6,1,marry,Croats and Serbs should marry each other.,continuous,4,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1
7,1,marry,Black lesbians can marry white lesbians.,continuous,4,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1
8,1,marry,Delany and the poet Marilyn Hacker were married to each other for several years and have a daughter.,continuous,4,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,5,1,1
9,1,marry,Outmoded metrics married modern data sources.,continuous,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1
10,1,marry,Prince William and Kate Middleton married each other.,continuous,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,1,1
11,2,match,"Screening methods will match specific drug treatments with patients with brain, ovarian and colorectal cancer based on molecular and genetic response to the therapy and avoiding trial and error.",continuous,4.33,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,8,0,2
12,2,match,"If the laboratory results and the patient's clinical presentation do not match, a decision to transfuse may occur based on incorrect results or analytical errors.",continuous,4.33,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,7,0,4
13,2,match,Your file might match another author's file name.,continuous,4.33,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,0,1
14,2,match,"Rogen and Heigl were evenly matched as comedians, though Heigl may have edged him out in the end with her charm.",continuous,4.33,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,6,1,2
15,2,match,"ASP Staffing matches quality companies looking for qualified professional candidates in the accounting, sales, and insurance industries with the best candidates.",continuous,4.33,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,7,0,2
16,2,match,Felon names and their dates of birth matched.,continuous,4.33,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,1
17,2,match,IFC can match those seeking funds with those looking to invest funds into worthy projects.  ,continuous,4.33,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,8,1,3
18,2,match,The file contents and your results do not match. ,continuous,4.33,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,1
19,2,match,A bloody glove matched the one at the murder scene in OJ's house.,continuous,4.33,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,1
20,2,match,The pair with the best correlation matched in significance.,continuous,4.33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2
21,3,resemble,"Village Way does actually resemble a small village, like those small quaint ones that you picture in a rural European country. ",continuous,3.17,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,7,0,2
22,3,resemble,The curves of LBP and NP resembled each other,continuous,3.17,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,2,0,1
23,3,resemble,These planets would somehow resemble the planets in our own solar system. ,continuous,3.17,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,3,0,1
24,3,resemble,Mars and Earth resembled each other,continuous,3.17,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3,0,1
25,3,resemble,The dots over the I's can resemble tone marks.,continuous,3.17,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,2,0,1
26,3,resemble,The Ps and Qs resembled each other,continuous,3.17,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,3,0,1
27,3,resemble,His reflection does not resemble him. ,continuous,3.17,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,2,0,1
28,3,resemble,The woman and the real Saint Nicholas resembled each other,continuous,3.17,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,3,0,1
29,3,resemble,The ten-year-olds resemble catatonic ghosts plugged into iPods.,continuous,3.17,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,2
30,3,resemble,Experiment II and Experiment III resembled each other.,continuous,3.17,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,3,0,1
31,4,meet,None of the Gorlans would meet their eyes.,continuous,4.67,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,1,1
32,4,meet,"The next day, my ex and I met.",continuous,4.67,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,1
33,4,meet,Students must meet with the director of the minor in sustainability.,continuous,4.67,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,3,1,1
34,4,meet,The priest and mother met for the 5:30 pm Vigil Mass at ST. ,continuous,4.67,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,1
35,4,meet,This imagery will best meet your Web needs.,continuous,4.67,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,2,0,1
36,4,meet,Women and men can meet in a building at the corner of the Railway Station carpark on Wednesdays at 7.30 pm. ,continuous,4.67,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,7,1,1
37,4,meet,A very large organisation met me for some business.,continuous,4.67,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,1,1
38,4,meet,The girls and the supervisor meet on the site of the future science wing.,continuous,4.67,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1
39,4,meet,She met her mother but her mother failed to recognize her.,continuous,4.67,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,6,1,2
40,4,meet,"Here, ethical and global business challenges meet each other.",continuous,4.67,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,2,0,1
41,5,argue,Marsilius of Padua and Lorenzo Valla argued against the priest.,continuous,3.67,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,1,1
42,5,argue,Dad and Mom argued and the next day sucked.,continuous,3.67,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1
43,5,argue,"The king argued with the queen, scaring the royal advisors.",continuous,3.67,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,3,1,1
