pred_id,predicate,sentence,sentence_rev,verb symmetry score,is_pred_symmetry,votes for 1,votes for 2,votes for 3,votes for 4,votes for 5,sentence average score,bert prediction,bert tuned prediction,ft prediction,w2v prediction,glv prediction,hybrid prediction
1,marry,"He married Kristie and has three children, Afiya, Eden and Titus. ","Kristie married him and has three children, Afiya, Eden and Titus. ",4,1,5,1,1,0,0,1.428571429,1.813510895,2.8149655,2.435348683,1.893002033,1.646387935,2.1225514
1,marry,Hannah Tamaki and Bishop Brian have been married for over 26 years.,Bishop Brian and Hannah Tamaki have been married for over 26 years.,4,1,7,0,0,0,0,1,1.380996704,1.5707862,0.912359836,1.843940377,1.682539225,1.1018112
1,marry,Don Hornig married chemist Lilli Hornig.,Chemist Lilli Hornig married Don Hornig. ,4,1,6,1,0,0,0,1.142857143,2.903928995,3.409677,2.699747561,2.142298937,2.184072733,2.6136768
1,marry,Angelina and Brad were married several years ago and had some issues.,Brad and Angelina were married several years ago and had some issues.,4,1,7,0,0,0,0,1,1.452158451,1.2696166,1.159366528,1.919101,1.621316314,1.0815477
1,marry,"Mrs. H., our teacher, who is beautiful and blond, is married to a black man from Africa (she shows us pictures of her wedding the first day).","A black man from Africa is married to Mrs. H., our teacher, who is beautiful and blond (she shows us pictures of her wedding the first day).",4,1,4,3,0,0,0,1.428571429,2.638445616,3.279905,2.83166825,2.307964802,2.126723289,2.8362324
1,marry,Croats and Serbs should marry each other.,Serbs and Croats should marry each other.,4,1,7,0,0,0,0,1,1.287725449,0.3753145,0.626586591,1.926235676,1.790367603,1.026223
1,marry,Black lesbians can marry white lesbians.,White lesbians can marry black lesbians.,4,1,5,1,1,0,0,1.428571429,2.986610889,2.398141,2.179817388,2.394880295,2.28838706,3.3938882
1,marry,Delany and the poet Marilyn Hacker were married to each other for several years and have a daughter.,The poet Marilyn Hacker and Delany were married to each other for several years and have a daughter.,4,1,7,0,0,0,0,1,1.29864502,1.4960848,1.533970165,1.907645464,1.775933385,1.0760902
1,marry,Outmoded metrics married modern data sources.,Modern data sources married outmoded metrics.,4,1,6,1,0,0,0,1.142857143,3.001510143,1.3716073,2.169009919,1.99177289,1.620788813,1.3426026
1,marry,Prince William and Kate Middleton married each other.,Kate Middleton and Prince William married each other.,4,1,7,0,0,0,0,1,2.337420464,0.8722206,0.994233672,1.875088692,1.706438303,1.0559503
2,match,"Screening methods will match specific drug treatments with patients with brain, ovarian and colorectal cancer based on molecular and genetic response to the therapy and avoiding trial and error.","Screening methods will match patients with brain, ovarian and colorectal cancer with specific drug treatments based on molecular and genetic response to the therapy and avoiding trial and error.",4.33,1,5,0,2,0,0,1.571428571,-0.234299183,2.6996777,2.25992826,2.007647038,1.904932499,1.1445665
2,match,"If the laboratory results and the patient's clinical presentation do not match, a decision to transfuse may occur based on incorrect results or analytical errors.","If the patient's clinical presentation and the laboratory results do not match, a decision to transfuse may occur based on incorrect results or analytical errors.",4.33,1,7,0,0,0,0,1,1.558509588,1.3880851,1.430216851,2.294915915,2.154104471,1.144568
2,match,Your file might match another author's file name.,Another author's file name might match your file.,4.33,1,7,0,0,0,0,1,4.125245094,3.7804394,2.665236253,2.51680398,2.493746996,1.9184406
2,match,"Rogen and Heigl seemed evenly matched as comedians, though Heigl may have edged him out in the end with her charm.","Heigl and Rogen seemed evenly matched as comedians, though Heigl may have edged him out in the end with her charm.",4.33,1,7,0,0,0,0,1,1.81924963,1.0917052,1.359714302,1.963392735,2.000944614,1.1580781
2,match,"ASP Staffing matches quality companies looking for qualified professional candidates in the accounting, sales, and insurance industries with the best candidates.","ASP Staffing matches the best candidates to quality companies looking for qualified professional candidates in the accounting, sales, and insurance industries.",4.33,1,5,0,0,1,1,2,2.996839046,2.4347332,2.267231615,2.244672537,2.198877335,1.2505442
2,match,Felon names and their dates of birth matched.,Their dates of birth and felon names matched.,4.33,1,6,1,0,0,0,1.142857143,2.249731541,0.53881246,0.976962664,1.934336424,1.817089319,1.1643745
2,match,IFC can match those seeking funds with those looking to invest funds into worthy projects.  ,IFC can match those looking to invest funds into worthy projects with those seeking funds.,4.33,1,6,0,1,0,0,1.285714286,4.090531349,3.710361,2.522635373,2.42812562,2.571942806,1.3997123
2,match,The file contents and your results do not match. ,Your results and the file contents do not match. ,4.33,1,7,0,0,0,0,1,0.254293919,0.64231735,1.099425181,2.206120014,2.293440819,1.1372553
2,match,A bloody glove matched the one at the murder scene in OJ's house.,The glove at the murder scene in OJ's house matched the bloody glove.,4.33,1,5,1,0,0,1,1.714285714,3.828296423,3.13029,2.605093811,2.088124275,2.241127014,2.3537679
2,match,The pair with the best correlation matched in significance.,The pair with the best correlation matched in significance.,4.33,1,6,0,0,0,1,1.571428571,2.118394375,2.0250897,2.099979758,2.224036217,2.140949488,1.1729774
3,resemble,"Village Way does actually resemble a small village, like those small quaint ones that you picture in a rural European country. ","A small village does actually resemble Village Way, like those small quaint ones that you picture in a rural European country. ",3.17,1,2,2,2,0,1,2.428571429,4.636203766,3.1675498,2.92042018,2.555464745,2.610601187,1.8037031
3,resemble,The curves of LBP and NP resembled each other,The curves of NP and LBP resembled each other,3.17,1,7,0,0,0,0,1,0.022328377,1.7247026,1.240844985,1.554859519,1.746747494,1.0717199
3,resemble,These planets would somehow resemble the planets in our own solar system. ,The planets in our own solar system would somehow resemble those planets.,3.17,1,3,2,1,0,1,2.142857143,3.185655832,2.9842892,2.632601982,2.472697735,2.651500463,1.4390516
3,resemble,Mars and Earth resembled each other,Earth and Mars resembled each other,3.17,1,6,0,0,0,1,1.571428571,2.68333292,1.3947453,1.53096778,1.678431511,1.456272125,1.0533463
3,resemble,The dots over the I's can resemble tone marks.,Tone marks can resemble the dots over the I's.,3.17,1,3,0,3,1,0,2.285714286,2.652112246,2.2832415,2.710806975,2.202536106,2.209764004,1.4721446
3,resemble,The Ps and Qs resembled each other,The Qs and Ps resembled each other,3.17,1,6,0,0,0,1,1.571428571,1.017503262,1.4420843,1.240844985,1.793557405,1.711663723,1.0519457
3,resemble,His reflection does not resemble him. ,He does not resemble his reflection.,3.17,1,6,0,1,0,0,1.285714286,4.761858463,3.0761323,3.362201921,2.347052574,2.398768425,2.2098413
3,resemble,The woman and the real Saint Nicholas resembled each other,The real Saint Nicholas and the woman resembled each other,3.17,1,7,0,0,0,0,1,3.152409077,1.4206007,1.240844985,1.923868656,1.944900751,1.0529237
3,resemble,The ten-year-olds resemble catatonic ghosts plugged into iPods.,Catatonic ghosts plugged into iPods resemble the ten-year-olds.,3.17,1,2,1,0,2,2,3.142857143,1.21169138,2.2638693,2.962052,2.165724754,2.28465724,1.5367568
3,resemble,Experiment II and Experiment III resembled each other.,Experiment III and Experiment II resembled each other.,3.17,1,7,0,0,0,0,1,2.169778824,1.5237604,1.240844985,2.239911079,1.769389868,1.061631
4,meet,None of the Gorlans would meet their eyes.,Their eyes would meet none of the Gorlans.,4.67,1,1,1,0,2,3,3.714285714,3.807470322,2.8828642,3.034946394,2.253798962,2.476270199,3.169894
4,meet,"The next day, my ex and I met.","The next day, me and my ex met.",4.67,1,7,0,0,0,0,1,2.28382349,1.4893003,0.894258415,1.926645875,1.831925869,1.0502522
4,meet,Students must meet with the director of the minor in sustainability.,The director of the minor in sustainability must meet with students.,4.67,1,2,0,0,3,2,3.428571429,0.046032906,3.5581243,3.450293585,2.579024553,2.567143679,2.943939
4,meet,The priest and mother met for the 5:30 pm Vigil Mass at ST. ,The mother and priest met for the 5:30 pm Vigil Mass at ST. ,4.67,1,7,0,0,0,0,1,4.396456718,1.6102757,0.894258415,2.141748428,2.436954498,1.1336207
4,meet,This imagery will best meet your Web needs.,Your Web needs will best meet this imagery.,4.67,1,0,2,0,1,4,4,2.898652554,3.6100593,2.72699923,2.46232152,2.514118433,3.2355738
4,meet,Women and men can meet in a building at the corner of the Railway Station carpark on Wednesdays at 7.30 pm. ,Men and women can meet in a building at the corner of the Railway Station carpark on Wednesdays at 7.30 pm. ,4.67,1,7,0,0,0,0,1,2.838526964,1.8284144,0.921297153,1.905154228,1.944762349,1.12592
